Danh mục,Danh mục con,Tên sản phẩm,Mã sản phẩm,Màu sắc,Size,Tình trạng,Giá gốc,Giảm giá,Giá bán,Link sản phẩm,Link hình ảnh,Đặc điểm
Giày Nam,Dép Nam,Dép nam chữ H quai da thật BQ D AV141,DEM0025-DEN01-38,Xám,"38, 39, 40, 41, 42, 43",Còn hàng,439000.0,12% giảm,386320.0,https://giaybq.com.vn/products/dep-nam-chu-h-quai-da-that-bq-d-av141,//product.hstatic.net/200000473357/product/loc_8623_copy_f7014d6561084ad5b29e62cdecd52637_small.jpg,"✓ Chất liệu quai: Da✓ Mặt tẩy: Da✓ Chất liệu đế: TPR ✓ Màu sắc: Đen, Xám, Nâu✓ Size: 38-43 | ✓ Chất liệu quai: Da | ✓ Mặt tẩy: Da | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Xám, Nâu | ✓ Size: 38-43"
Giày Nam,Dép Nam,Dép nam chữ H quai da thật BQ D AV141,DEM0025-DEN01-38,Đen,"38, 39, 40, 41, 42, 43",Còn hàng,439000.0,12% giảm,386320.0,https://giaybq.com.vn/products/dep-nam-chu-h-quai-da-that-bq-d-av141,//product.hstatic.net/200000473357/product/loc_8629_copy_3b253bf36e8a424cb4ee287b72dfeb9b_small.jpg,"✓ Chất liệu quai: Da✓ Mặt tẩy: Da✓ Chất liệu đế: TPR ✓ Màu sắc: Đen, Xám, Nâu✓ Size: 38-43 | ✓ Chất liệu quai: Da | ✓ Mặt tẩy: Da | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Xám, Nâu | ✓ Size: 38-43"
Giày Nam,Dép Nam,Dép nam chữ H quai da thật BQ D AV141,DEM0025-DEN01-38,Nâu,"38, 39, 40, 41, 42, 43",Còn hàng,439000.0,12% giảm,386320.0,https://giaybq.com.vn/products/dep-nam-chu-h-quai-da-that-bq-d-av141,//product.hstatic.net/200000473357/product/loc_8673_copy_21976dd6d2984027a97ed4311d374a5a_small.jpg,"✓ Chất liệu quai: Da✓ Mặt tẩy: Da✓ Chất liệu đế: TPR ✓ Màu sắc: Đen, Xám, Nâu✓ Size: 38-43 | ✓ Chất liệu quai: Da | ✓ Mặt tẩy: Da | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Xám, Nâu | ✓ Size: 38-43"
Giày Nam,Dép Nam,Dép nam da hai quai ngang dập hoạ tiết BQ D NF4201,DEM0068-DEN01-38,Bò,"38, 39, 40, 41, 42, 43, 44",Còn hàng,299000.0,12% giảm,263120.0,https://giaybq.com.vn/products/dep-nam-da-hai-quai-ngang-dap-hoa-tiet-bq-d-nf4201,//product.hstatic.net/200000473357/product/loc_1133_copy_d722095245a349ec96308094ed749cb8_small.jpg,Quai: XítĐế: TPRMàu sắc: Đen - BòSize: 38 - 43
Giày Nam,Dép Nam,Dép nam da hai quai ngang dập hoạ tiết BQ D NF4201,DEM0068-DEN01-38,Đen,"38, 39, 40, 41, 42, 43",Còn hàng,299000.0,12% giảm,263120.0,https://giaybq.com.vn/products/dep-nam-da-hai-quai-ngang-dap-hoa-tiet-bq-d-nf4201,//product.hstatic.net/200000473357/product/loc_1160_copy_2a44a71dab6c4825815bc4743bf3ecd6_small.jpg,Quai: XítĐế: TPRMàu sắc: Đen - BòSize: 38 - 43
Giày Nam,Dép Nam,Dép nam hai quai ngang quai dán BQ D 001,DEM0474-XAM01-38,Xám,"38, 39, 40, 41, 42, 43, 44",Còn hàng,539000.0,10% giảm,485100.0,https://giaybq.com.vn/products/dep-nam-hai-quai-ngang-quai-dan-bq-d-001,//product.hstatic.net/200000473357/product/loc_2346_copy_78543d925544482bab9a00234bae7940_small.jpg,"✓ Chất liệu quai: Da✓ Chất liệu mặt: Microfiber✓ Chất liệu đế: TPR✓ Màu sắc: Rêu, Xám✓ Size: 38 - 44 | ✓ Chất liệu quai: Da | ✓ Chất liệu mặt: Microfiber | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Rêu, Xám | ✓ Size: 38 - 44"
Giày Nam,Dép Nam,Dép nam hai quai ngang quai dán BQ D 001,DEM0474-XAM01-38,Rêu,"38, 39, 40, 41, 42, 43, 44",Còn hàng,539000.0,10% giảm,485100.0,https://giaybq.com.vn/products/dep-nam-hai-quai-ngang-quai-dan-bq-d-001,//product.hstatic.net/200000473357/product/loc_2384_copy_330cf056ff0f4f2dae7b1193421fb3b1_small.jpg,"✓ Chất liệu quai: Da✓ Chất liệu mặt: Microfiber✓ Chất liệu đế: TPR✓ Màu sắc: Rêu, Xám✓ Size: 38 - 44 | ✓ Chất liệu quai: Da | ✓ Chất liệu mặt: Microfiber | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Rêu, Xám | ✓ Size: 38 - 44"
Giày Nam,Dép Nam,Dép nam hai quai ngang thời trang BQ D 915,DEM0219-DEN01-38,Xám,"38, 39, 40, 41, 42, 43",Còn hàng,419000.0,12% giảm,368720.0,https://giaybq.com.vn/products/dep-nam-hai-quai-ngang-thoi-trang-bq-d-915,//product.hstatic.net/200000473357/product/loc_1074_copy_000597dac8074b1d977b6b908225d101_small.jpg,Quai: DaLót: DaĐế: PUMàu sắc: Đen - Nâu - XámSize: 38 - 43
Giày Nam,Dép Nam,Dép nam hai quai ngang thời trang BQ D 915,DEM0219-DEN01-38,Nâu,"38, 39, 40, 41, 42, 43",Còn hàng,419000.0,12% giảm,368720.0,https://giaybq.com.vn/products/dep-nam-hai-quai-ngang-thoi-trang-bq-d-915,//product.hstatic.net/200000473357/product/loc_1097_copy_6f89cb653b21499f974eefa90931f7c0_small.jpg,Quai: DaLót: DaĐế: PUMàu sắc: Đen - Nâu - XámSize: 38 - 43
Giày Nam,Dép Nam,Dép nam hai quai ngang thời trang BQ D 915,DEM0219-DEN01-38,Đen,"38, 39, 40, 41, 42, 43",Còn hàng,419000.0,12% giảm,368720.0,https://giaybq.com.vn/products/dep-nam-hai-quai-ngang-thoi-trang-bq-d-915,//product.hstatic.net/200000473357/product/loc_1180_copy_d3ee87a9c85441d69d8d19ec2dde4e2d_small.jpg,Quai: DaLót: DaĐế: PUMàu sắc: Đen - Nâu - XámSize: 38 - 43
Giày Nam,Dép Nam,Dép nam hai quai ngang trẻ trung BQ D 3133,DEM0281-DEN01-38,Xám,"38, 39, 40, 41, 42, 43",Còn hàng,309000.0,12% giảm,271920.0,https://giaybq.com.vn/products/dep-nam-hai-quai-ngang-tre-trung-bq-d-3133,//product.hstatic.net/200000473357/product/loc_8435_copy_7c41f78994eb4df39cb4296e97539592_small.jpg,"✓ Chất liệu quai: Da✓ Mặt tẩy: Pháp✓ Chất liệu đế: TPR✓ Màu sắc: Đen, Xám✓ Size: 38-43 | ✓ Chất liệu quai: Da | ✓ Mặt tẩy: Pháp | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Xám | ✓ Size: 38-43"
Giày Nam,Dép Nam,Dép nam hai quai ngang trẻ trung BQ D 3133,DEM0281-DEN01-38,Đen,"38, 39, 40, 41, 42, 43",Còn hàng,309000.0,12% giảm,271920.0,https://giaybq.com.vn/products/dep-nam-hai-quai-ngang-tre-trung-bq-d-3133,//product.hstatic.net/200000473357/product/loc_8450_copy_1da2c04c1e40498d81c80de1dc9cb31a_small.jpg,"✓ Chất liệu quai: Da✓ Mặt tẩy: Pháp✓ Chất liệu đế: TPR✓ Màu sắc: Đen, Xám✓ Size: 38-43 | ✓ Chất liệu quai: Da | ✓ Mặt tẩy: Pháp | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Xám | ✓ Size: 38-43"
Giày Nam,Dép Nam,Dép nam kẹp ngón da bò BQ D TH703,DEM0141-DEN01-38,Đen,"38, 39, 40, 41, 42, 43",Còn hàng,439000.0,12% giảm,386320.0,https://giaybq.com.vn/products/dep-nam-kep-ngon-da-bo-bq-d-th703,//product.hstatic.net/200000473357/product/loc_0009_copy_696f2e20fd6944ed8d85ae5eb6ec12c6_small.jpg,"✓ Chất liệu quai: Da✓ Chất liệu mặt: Da✓ Chất liệu đế: TPR✓ Màu sắc: Đen, Nâu✓ Size: 38 - 43 | ✓ Chất liệu quai: Da | ✓ Chất liệu mặt: Da | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Nâu | ✓ Size: 38 - 43"
Giày Nam,Dép Nam,Dép nam kẹp ngón da bò BQ D TH703,DEM0141-DEN01-38,Nâu,"38, 39, 40, 41, 42, 43",Còn hàng,439000.0,12% giảm,386320.0,https://giaybq.com.vn/products/dep-nam-kep-ngon-da-bo-bq-d-th703,//product.hstatic.net/200000473357/product/loc_0026_copy_6ec8725d9e9b40888e8666ff0dff7d21_small.jpg,"✓ Chất liệu quai: Da✓ Chất liệu mặt: Da✓ Chất liệu đế: TPR✓ Màu sắc: Đen, Nâu✓ Size: 38 - 43 | ✓ Chất liệu quai: Da | ✓ Chất liệu mặt: Da | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Nâu | ✓ Size: 38 - 43"
Giày Nam,Dép Nam,Dép nam quai bảng BQ D 6908,DEM0094-BBO01-38,Bò,"38, 39, 40, 41, 42, 43",Còn hàng,299000.0,20% giảm,239200.0,https://giaybq.com.vn/products/dep-nam-quai-bang-bq-d-6908,//product.hstatic.net/200000473357/product/loc_4351_copy_a2d0fcc59caa4455b5e167d59fda78ac_small.jpg,"✓ Màu: Đen, Bò, Xám | ✓ Size: 38-43 | ✓ Chất liệu quai: Microfiber | ✓ Chất liệu mặt tẩy: Microfiber | ✓ Chất liệu đế: TPR"
Giày Nam,Dép Nam,Dép nam quai bảng BQ D 6908,DEM0094-BBO01-38,Đen,"38, 39, 40, 41, 42, 43",Còn hàng,299000.0,20% giảm,239200.0,https://giaybq.com.vn/products/dep-nam-quai-bang-bq-d-6908,//product.hstatic.net/200000473357/product/loc_4377_copy_da1b704515734018960f1a964744f2c7_small.jpg,"✓ Màu: Đen, Bò, Xám | ✓ Size: 38-43 | ✓ Chất liệu quai: Microfiber | ✓ Chất liệu mặt tẩy: Microfiber | ✓ Chất liệu đế: TPR"
Giày Nam,Dép Nam,Dép nam quai bảng BQ D 6908,DEM0094-BBO01-38,Xám,"38, 39, 40, 41, 42, 43",Còn hàng,299000.0,20% giảm,239200.0,https://giaybq.com.vn/products/dep-nam-quai-bang-bq-d-6908,//product.hstatic.net/200000473357/product/loc_4403_copy_07d3875f91d444a0b9ef0c5cb4d65f78_small.jpg,"✓ Màu: Đen, Bò, Xám | ✓ Size: 38-43 | ✓ Chất liệu quai: Microfiber | ✓ Chất liệu mặt tẩy: Microfiber | ✓ Chất liệu đế: TPR"
Giày Nam,Dép Nam,Dép nam quai bảng dập ô vuông BQ D 6902,DEM0092-DEN01-38,Bò,"38, 39, 40, 41, 42, 43, 44",Còn hàng,319000.0,12% giảm,280720.0,https://giaybq.com.vn/products/dep-nam-quai-bang-dap-o-vuong-bq-d-6902,//product.hstatic.net/200000473357/product/loc_2201_copy_e40212361b524f19a2325ddcca92a68d_small.jpg,"✓ Chất liệu quai: Xít✓ Chất liệu mặt: Xít✓ Chất liệu đế: TPR✓ Màu sắc: Đen, Bò✓ Size: 38 - 44 | ✓ Chất liệu quai: Xít | ✓ Chất liệu mặt: Xít | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Bò | ✓ Size: 38 - 44"
Giày Nam,Dép Nam,Dép nam quai bảng dập ô vuông BQ D 6902,DEM0092-DEN01-38,Đen,"38, 39, 40, 41, 42, 43, 44",Còn hàng,319000.0,12% giảm,280720.0,https://giaybq.com.vn/products/dep-nam-quai-bang-dap-o-vuong-bq-d-6902,//product.hstatic.net/200000473357/product/loc_2334_copy_6d64f6406955472f971985edd4300907_small.jpg,"✓ Chất liệu quai: Xít✓ Chất liệu mặt: Xít✓ Chất liệu đế: TPR✓ Màu sắc: Đen, Bò✓ Size: 38 - 44 | ✓ Chất liệu quai: Xít | ✓ Chất liệu mặt: Xít | ✓ Chất liệu đế: TPR | ✓ Màu sắc: Đen, Bò | ✓ Size: 38 - 44"
Giày Nam,Dép Nam,Dép nam quai bảng eva BQ D IP02,DET0002-DEN01-35,Đen,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44",Còn hàng,139000.0,12% giảm,122320.0,https://giaybq.com.vn/products/dep-nam-quai-bang-eva-bq-d-ip02,//product.hstatic.net/200000473357/product/loc_5279_copy_bbce48bce61546c38212ac9063b1c108_small.jpg,"Quai: EvaĐế: EvaMàu sắc: Đen, XámSize: 35 - 44"
Giày Nam,Dép Nam,Dép nam quai bảng eva BQ D IP02,DET0002-DEN01-35,Xám,"35, 36, 37, 38, 39, 40, 41, 42, 43, 44",Còn hàng,139000.0,12% giảm,122320.0,https://giaybq.com.vn/products/dep-nam-quai-bang-eva-bq-d-ip02,//product.hstatic.net/200000473357/product/loc_5283_copy_f098ec5d9a004d079564a4a307bcc417_small.jpg,"Quai: EvaĐế: EvaMàu sắc: Đen, XámSize: 35 - 44"
Giày Nam,Dép Nam,Dép nam quai bảng may viền nổi BQ D NB4302,DEM0070-DEN01-38,Bò,"38, 41, 42, 43, 44",Còn hàng,299000.0,12% giảm,263120.0,https://giaybq.com.vn/products/dep-nam-quai-bang-may-vien-noi-bq-d-nb4302,//product.hstatic.net/200000473357/product/loc_2271_copy_82c9788d8fdb4fc981dbc3f401866953_small.jpg,"- Chất liệu quai: Da sít | - Chất liệu lót: Da | - Chất liệu đế: TPR | - Màu sắc: Đen, Xám, Bò | - Size: 38 - 43"
Giày Nam,Dép Nam,Dép nam quai bảng may viền nổi BQ D NB4302,DEM0070-DEN01-38,Đen,"38, 39, 40, 41, 42, 43",Còn hàng,299000.0,12% giảm,263120.0,https://giaybq.com.vn/products/dep-nam-quai-bang-may-vien-noi-bq-d-nb4302,//product.hstatic.net/200000473357/product/loc_2916_copy_8edf650da6f74efebe18f8ae3908a38f_small.jpg,"- Chất liệu quai: Da sít | - Chất liệu lót: Da | - Chất liệu đế: TPR | - Màu sắc: Đen, Xám, Bò | - Size: 38 - 43"
Giày Nam,Dép Nam,Dép nam quai bảng may viền nổi BQ D NB4302,DEM0070-DEN01-38,Xám,"38, 39, 40, 41, 42, 43",Còn hàng,299000.0,12% giảm,263120.0,https://giaybq.com.vn/products/dep-nam-quai-bang-may-vien-noi-bq-d-nb4302,//product.hstatic.net/200000473357/product/loc_3242_copy_5965274ec15d487a93badde3bdcd163f_small.jpg,"- Chất liệu quai: Da sít | - Chất liệu lót: Da | - Chất liệu đế: TPR | - Màu sắc: Đen, Xám, Bò | - Size: 38 - 43"
